,Image,F1,Jaccard,Recall,Precision
0,3938.png,0.9748953974895397,0.9510204081632653,0.9620148637489678,0.9881255301102629
1,2987.png,0.8896256248087321,0.8011943040881948,0.8253833049403748,0.9647123893805309
2,3306.png,0.9436897026973815,0.8933830382106244,0.963610776035384,0.9245756172839507
3,3108.png,0.8442693164296727,0.7305069670916099,0.7388305847076462,0.9848121502797762
4,3665.png,0.9060971019947308,0.828315843798383,0.967644694533762,0.8519108280254777
5,1882.png,0.8135802469135803,0.6857440166493236,0.7987878787878788,0.8289308176100629
6,1536.png,0.9772727272727273,0.9555555555555556,0.9870022123893806,0.9677331887201736
7,2842.png,0.9171647240176326,0.847002997002997,0.8939793336145087,0.9415847631739686
8,1833.png,0.921417565485362,0.8542857142857143,0.8863636363636364,0.9593582887700535
9,2982.png,0.5950991831971996,0.42358803986710963,0.44874615046194455,0.8831168831168831
10,3987.png,0.796454256564643,0.6617565314063368,0.6636933797909408,0.995609450135898
11,1338.png,0.8299526066350711,0.7093324692158134,0.939081939081939,0.743546195652174
12,197.png,0.9271758436944938,0.8642384105960265,0.8642384105960265,1.0
13,2748.png,0.9279339283335553,0.8655566600397614,0.8819954418840212,0.978920741989882
14,3838.png,0.7908745247148289,0.6540880503144654,0.6540880503144654,1.0
15,2661.png,0.8998366434528415,0.8179118474523288,0.8567452521283563,0.9474923049067536
16,1851.png,0.9057421451787648,0.8277227722772277,0.9750083305564812,0.8456647398843931
17,1518.png,0.8075002773771218,0.6771492370673614,0.7632130872483222,0.8572438162544169
18,1615.png,0.9780144122641942,0.956974759723345,0.9832041343669251,0.9728791891151493
19,3352.png,0.7604456824512535,0.6134831460674157,0.8312309699869509,0.7007700770077008
20,1105.png,0.9742012643089014,0.9497001998667555,0.9586415601882986,0.9902744008336228
21,2044.png,0.24929577464788732,0.1423974255832663,1.0,0.1423974255832663
22,3790.png,0.9638009049773756,0.9301310043668122,0.9594594594594594,0.9681818181818181
23,1201.png,0.0,0.0,0.0,0.0
24,3319.png,0.9675778766687858,0.937192118226601,0.9634435828453869,0.9717478052673584
25,381.png,0.0,0.0,0.0,0.0
26,2343.png,0.9555142325847518,0.9148178581210628,0.9651784424216153,0.9460416371618751
27,630.png,0.9493449781659389,0.9035743973399833,0.9850475758948799,0.9161399072903498
28,3288.png,0.9177693307029783,0.8480348568379869,0.8643284393692224,0.9782541799158888
29,2736.png,0.7281001137656428,0.5724508050089445,0.5724508050089445,1.0
30,2126.png,0.938566552901024,0.8842443729903537,0.9016393442622951,0.9786476868327402
31,797.png,0.9720930232558139,0.9457013574660633,0.974169741697417,0.9700251402049893
32,1329.png,0.9608355091383811,0.9246231155778895,0.9654100272055965,0.9563041385948027
33,3404.png,0.9353033355719721,0.8784693019343986,0.8839708869329722,0.9929651107519726
34,270.png,0.9688838600177807,0.9396457124941213,0.9470690472428503,0.9917273328921244
35,2460.png,0.9393579072532701,0.8856502242152466,0.9245172615564657,0.9546827794561934
36,65.png,0.9495216100296932,0.9038944723618091,0.9271907216494846,0.9729546991210277
37,2003.png,0.366489496330043,0.22435698791447165,0.7342799188640974,0.24418212478920742
38,1146.png,0.9600340136054422,0.9231398201144726,0.9307502061005771,0.9912203687445127
39,1821.png,0.0,0.0,0.0,0.0
40,3900.png,0.3330507037476683,0.1997965412004069,0.9370229007633588,0.2025159826768406
41,2060.png,0.8972746331236898,0.8136882129277566,0.8199233716475096,0.9907407407407407
42,3436.png,0.0,0.0,0.0,0.0
43,1546.png,0.9249183895538629,0.8603238866396761,0.91792656587473,0.9320175438596491
44,2883.png,0.9109787753855549,0.8365114974761638,0.9306364392678869,0.8921343834114246
45,3649.png,0.6740322312676524,0.5083322891868187,0.6828816697525669,0.6654092176480236
46,1200.png,0.060124610591900315,0.030994058133932873,0.03110144226895496,0.8997668997668997
47,361.png,0.9856192315947628,0.9716462124418113,0.9832976445396145,0.9879518072289156
48,3230.png,0.9367296631059984,0.8809891808346213,0.9336609336609336,0.9398186314921682
49,3093.png,0.7885038038884192,0.6508512419759978,0.8531187122736419,0.7329875844727329
50,2956.png,0.0,0.0,0.0,0.0
51,534.png,0.9330193615907902,0.874448258950466,0.9504264392324094,0.9162384378211716
52,3301.png,0.9534536031097378,0.911047619047619,0.9621806477569905,0.9448834452785461
53,3678.png,0.9299722764144163,0.8691104500527781,0.9243723208818126,0.9356404958677685
54,2680.png,0.9296296296296296,0.8685121107266436,0.9416676751785066,0.9178954818921788
55,1336.png,0.8026022304832714,0.6702887302080099,0.9334198011240813,0.7039452233452885
56,3057.png,0.8444063437633949,0.7307121661721068,0.9137291280148423,0.7848605577689243
57,3922.png,0.7038391224862889,0.5430183356840621,0.5437853107344632,0.9974093264248705
58,3971.png,0.8672566371681415,0.765625,0.7865168539325843,0.9664694280078896
59,1809.png,0.9199352786921832,0.851740882322554,0.8920147154295607,0.9496601773989172
60,2223.png,0.9387673956262426,0.8846009741476208,0.9736082474226804,0.9063339731285989
61,2367.png,0.9529111575040594,0.9100575985821887,0.9598130841121495,0.9461077844311377
62,3656.png,0.926161557740505,0.8624775583482944,0.9199540405974722,0.9324534161490683
63,1006.png,0.863768115942029,0.7602040816326531,0.7821522309711286,0.9644012944983819
64,290.png,0.9486943164362519,0.90239625949737,0.9631940112289458,0.9346246973365617
65,3882.png,0.8256401323811182,0.7030554731533669,0.992462311557789,0.7068297047420221
66,1764.png,0.0013324450366422385,0.0006666666666666666,0.0006666666666666666,1.0
67,1592.png,0.9613763440860216,0.9256253105847275,0.9375838926174497,0.9864077669902913
68,3964.png,0.005862237420615535,0.002939735423811857,0.00351288056206089,0.017699115044247787
69,3956.png,0.9568345323741008,0.9172413793103448,0.9395604395604396,0.9747557003257329
70,999.png,0.6874189364461738,0.5237154150197628,0.848452508004269,0.5777616279069767
71,488.png,0.5496031746031746,0.3789329685362517,0.9342327150084317,0.3893183415319747
72,2636.png,0.954730121880441,0.9133814547473625,0.9149054505005562,0.9981796116504854
73,452.png,0.7458460098291598,0.5947005038253406,0.6072789634146342,0.9663432383262583
74,1768.png,0.9104427171341669,0.8356079404466501,0.9566761363636364,0.8684719535783365
75,687.png,0.9634285714285715,0.9294377067254685,0.9592262469182629,0.9676678783240865
76,1929.png,0.8232848232848232,0.6996466431095406,0.9697493517718236,0.7152571185720357
77,1530.png,0.9596587879864937,0.9224461906388794,0.9332872450743174,0.9875640087783467
78,40.png,0.9550321199143468,0.9139344262295082,0.9429175475687104,0.9674620390455532
79,76.png,0.938812785388128,0.8846815834767642,0.9634489222118088,0.9154051647373108
80,2227.png,0.6068376068376069,0.43558282208588955,0.7365145228215768,0.5159883720930233
81,3260.png,0.9625133608184455,0.9277356685554493,0.957905934199529,0.9671653241273495
82,2286.png,0.9754812931347621,0.9521361460733913,0.9658334831864772,0.9853237937993029
83,3278.png,0.949635730123535,0.9041013268998793,0.9477744056651493,0.9515043798400407
84,2861.png,0.7425900592795258,0.5905711695376247,0.607790996034523,0.954222515198125
85,713.png,0.9284769804062989,0.866502131478573,0.9894952600563669,0.8745471014492754
86,363.png,0.8497067448680352,0.7386870618228171,0.9927194860813704,0.7427106696571611
87,3295.png,0.9727106645352821,0.9468711792819828,0.9670791236235668,0.9784081773285862
88,2074.png,0.9087301587301586,0.8327272727272728,0.950207468879668,0.870722433460076
89,38.png,0.9420142421159714,0.8903846153846153,0.9788583509513742,0.907843137254902
90,3654.png,0.6189196219543918,0.4481416373681567,0.6002354524049781,0.6388043672811885
91,2894.png,0.9638026536132939,0.9301342615614122,0.9444584700833123,0.983955812730142
92,2364.png,0.9205126249141811,0.8527312557416437,0.8995825257193977,0.9424398625429553
93,95.png,0.0,0.0,0.0,0.0
94,1779.png,0.9493161705551085,0.9035222052067381,0.9776304888152444,0.9225957779515246
95,2615.png,0.9453255425709516,0.8963197467352592,0.9196102314250914,0.9725203950193216
96,903.png,0.0,0.0,0.0,0.0
97,1857.png,0.8813278008298756,0.787833827893175,0.8232558139534883,0.9482142857142857
98,2622.png,0.9450357376946845,0.8957988165680474,0.9324915306436711,0.9579220450518856
99,170.png,0.9697085159077921,0.941198224852071,0.9549718574108818,0.9849071207430341
100,848.png,0.9471817410748709,0.8996631023875787,0.925976179707523,0.9693813131313131
101,3741.png,0.8334172681998769,0.7144090560245587,0.7332611264277274,0.9652624756966948
102,2968.png,0.22973143361492876,0.12977207977207977,0.24005270092226613,0.22026112185686653
103,44.png,0.9094269870609982,0.8338983050847457,0.9723320158102767,0.8541666666666666
104,2083.png,0.9303733602421796,0.869811320754717,0.948559670781893,0.9128712871287129
105,1365.png,0.9423828124999999,0.8910433979686058,0.9120982986767486,0.9747474747474747
